ticker,name,Sector,SubIndustry,Address,tech
A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California",0
AA,Alcoa Inc,Materials,Aluminum,"New York, New York",0
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",0
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",0
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",0
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",0
ACE,ACE Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",0
ACN,Accenture plc,Information Technology,IT Consulting & Services,"Dublin, Ireland",0
ACT,Actavis plc,Health Care,Pharmaceuticals,"Parsippany, New Jersey",0
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",0
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",0
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",0
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",1
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",0
ADT,ADT Corp,Industrials,Diversified Commercial Services,"Boca Raton, Florida",0
AEE,Ameren Corp,Utilities,Multi-Utilities & Unregulated Power,"St. Louis, Missouri",0
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",0
AES,AES Corp,Utilities,Electric Utilities,"Arlington, Virginia",0
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",0
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",0
AGN,Allergan Inc,Health Care,Pharmaceuticals,"Irvine, California",0
AIG,American Intl Group Inc,Financials,Property & Casualty Insurance,"New York, New York",0
AIV,Apartment Investment & Mgmt,Financials,REITs,"Denver, Colorado",0
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",0
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",1
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",0
ALTR,Altera Corp,Information Technology,Semiconductors,"San Jose, California",0
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",0
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Sunnyvale, California",0
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",0
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",0
AMT,American Tower Corp A,Financials,REITs,"Boston, Massachusetts",0
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",1
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",0
ANF,Abercrombie & Fitch,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New Albany, Ohio",0
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",0
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",0
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",0
ARG,Airgas Inc,Materials,Industrial Gases,"Radnor, Pennsylvania",0
ATI,Allegheny Technologies Inc,Materials,Diversified Metals & Mining,"Pittsburgh, Pennsylvania",0
AVB,"AvalonBay Communities, Inc.",Financials,REITs,"Arlington, Virginia [1]",0
AVP,Avon Products,Consumer Staples,Personal Products,"New York, New York",0
AVY,Avery Dennison Corp,Materials,,"Pasadena, California",0
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",0
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",0
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",0
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",0
BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",0
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey",0
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",0
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",0
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",0
BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",0
BEAM,Beam Inc.,Consumer Staples,Distillers & Vintners,"Deerfield, Illinois",0
BEN,Franklin Resources,Financials,Diversified Financial Services,"San Mateo, California",0
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",0
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",0
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",0
BLK,BlackRock,Financials,Diversified Financial Services,"New York, New York",0
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",0
BMS,Bemis Company,Materials,Paper Packaging,"Neenah, Wisconsin",0
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors & Services,"New York, New York",0
BRCM,Broadcom Corporation,Information Technology,Semiconductors,"Irvine, California",0
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",0
BSX,Boston Scientific,Health Care,Health Care Equipment & Services,"Natick, Massachusetts",0
BTU,Peabody Energy,Energy,Oil & Gas Exploration & Production,"St. Louis, Missouri",0
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",0
BXP,Boston Properties,Financials,REITs,"Boston, Massachusetts",0
C,Citigroup Inc.,Financials,Banks,"New York, New York",0
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",1
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",0
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors & Services,"Dublin, Ohio",0
CAM,Cameron International Corp.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",0
CB,Chubb Corp.,Financials,Property & Casualty Insurance,"Warren, New Jersey",0
CBG,CBRE Group,Financials,Real Estate Management & Development,"Los Angeles, California",0
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",0
CCE,Coca-Cola Enterprises,Consumer Staples,Soft Drinks,"Atlanta, Georgia",0
CCI,Crown Castle International Corp.,Telecommunications Services,Wireless Telecommunications Services,"Houston, Texas",0
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",0
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",0
CERN,Cerner,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",0
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",0
CFN,Carefusion,Health Care,Health Care Equipment & Services,"San Diego, California [2]",0
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",0
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",0
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",0
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",0
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",0
CLF,Cliffs Natural Resources,Materials,Diversified Metals & Mining,"Cleveland, Ohio",0
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",0
CMA,Comerica Inc.,Financials,Banks,"Dallas, Texas",0
CMCSA,Comcast Corp.,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",0
CME,CME Group Inc.,Financials,Diversified Financial Services,"Chicago, Illinois",0
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",0
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",0
CMS,CMS Energy,Utilities,Multi-Utilities & Unregulated Power,"Jackson, Michigan",0
CNP,CenterPoint Energy,Utilities,Multi-Utilities & Unregulated Power,"Houston, Texas",0
CNX,CONSOL Energy Inc.,Energy,Oil & Gas Exploration & Production,"Cecil Township, Pennsylvania",0
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",0
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",0
COL,Rockwell Collins,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",0
COP,ConocoPhillips,Energy,Integrated Oil & Gas,"Houston, Texas",0
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",0
COV,Covidien plc,Health Care,Health Care Equipment & Services,"Dublin, Ireland",0
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",0
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",1
CSC,Computer Sciences Corp.,Information Technology,IT Consulting & Services,"Falls Church, Virginia",1
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",0
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",0
CTAS,Cintas Corporation,Industrials,Diversified Commercial Services,"Mason, Ohio",0
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",0
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",1
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",1
CVC,Cablevision Systems Corp.,Consumer Discretionary,Broadcasting & Cable TV,"Bethpage, New York",0
CVS,CVS Caremark Corp.,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",0
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",0
D,Dominion Resources,Utilities,Multi-Utilities & Unregulated Power,"Richmond, Virginia",0
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",0
DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",0
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",0
DELL,Dell Inc.,Information Technology,Computer Hardware,"Round Rock, Texas",0
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",0
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",0
DGX,Quest Diagnostics,Health Care,Health Care Facilities,"Madison, New Jersey",0
